Source,Target,artistName,trackName,msPlayed,endTime
Rock Argentino,5. Viernes,Patricio Rey y sus Redonditos de Ricota,Todo un Palo,440560,2026-06-05 22:52:00
Rock Argentino,5. Viernes,Patricio Rey y sus Redonditos de Ricota,Preso en Mi Ciudad,39286,2026-06-05 22:52:00
Rock Argentino,5. Viernes,Indio Solari,Había una Vez...,268213,2026-06-05 22:57:00
Rock Argentino,5. Viernes,Indio Solari,Black Russian,255352,2026-06-05 23:01:00
Rock Argentino,5. Viernes,Patricio Rey y sus Redonditos de Ricota,Juguetes Perdidos,159310,2026-06-05 23:11:00
Rock Argentino,5. Viernes,Indio Solari,Había una Vez...,268213,2026-06-05 23:15:00
Rock Argentino,5. Viernes,Indio Solari,El Tesoro de los Inocentes,258867,2026-06-05 23:20:00
Rock Argentino,5. Viernes,Patricio Rey y sus Redonditos de Ricota,Semen-Up,320401,2026-06-05 23:43:00
Rock Argentino,5. Viernes,Patricio Rey y sus Redonditos de Ricota,Ya Nadie Va a Escuchar Tu Remera,238133,2026-06-05 23:48:00
Rock Argentino,5. Viernes,Patricio Rey y sus Redonditos de Ricota,Fuegos de Octubre,51323,2026-06-05 23:49:00
Rock Argentino,5. Viernes,Patricio Rey y sus Redonditos de Ricota,Rock para el Negro Atila,240107,2026-06-05 23:53:00
Rock Argentino,5. Viernes,Patricio Rey y sus Redonditos de Ricota,Sorpresa de Shangai,219200,2026-06-05 23:56:00
Rock Argentino,5. Viernes,Patricio Rey y sus Redonditos de Ricota,Shopping Disco-Zen,167627,2026-06-05 23:59:00
Rock Argentino,6. Sábado,Patricio Rey y sus Redonditos de Ricota,Un Ángel para Tu Soledad,231533,2026-06-06 00:03:00
Rock Argentino,6. Sábado,Patricio Rey y sus Redonditos de Ricota,Buenas Noticias,223733,2026-06-06 00:07:00
Rock Argentino,6. Sábado,Patricio Rey y sus Redonditos de Ricota,Susanita,224200,2026-06-06 00:10:00
Rock Argentino,6. Sábado,Patricio Rey y sus Redonditos de Ricota,Capricho Magyar,57907,2026-06-06 00:11:00
Rock Argentino,6. Sábado,Patricio Rey y sus Redonditos de Ricota,Espejismo,242665,2026-06-06 00:15:00
Rock Argentino,6. Sábado,Patricio Rey y sus Redonditos de Ricota,Ladrón de Mi Cerebro,214053,2026-06-06 00:19:00
Rock Argentino,6. Sábado,Patricio Rey y sus Redonditos de Ricota,¡Es Hora de Levantarse Querido! (¿Dormiste Bien?),216280,2026-06-06 00:23:00
Rock Argentino,6. Sábado,Patricio Rey y sus Redonditos de Ricota,Perdiendo el Tiempo,4759,2026-06-06 00:23:00
Rock Argentino,6. Sábado,Patricio Rey y sus Redonditos de Ricota,Buenas Noticias,223733,2026-06-06 00:26:00
Rock Argentino,6. Sábado,Patricio Rey y sus Redonditos de Ricota,Gualicho,630,2026-06-06 00:27:00
Rock Argentino,6. Sábado,Patricio Rey y sus Redonditos de Ricota,Caña Seca y un Membrillo,268227,2026-06-06 00:31:00
Rock Argentino,6. Sábado,Patricio Rey y sus Redonditos de Ricota,Soga de Caín,54101,2026-06-06 00:33:00
Rock Argentino,6. Sábado,Patricio Rey y sus Redonditos de Ricota,Lavi-Rap,185011,2026-06-06 00:36:00
Rock Argentino,6. Sábado,Patricio Rey y sus Redonditos de Ricota,La Murga de la Virgencita,215234,2026-06-06 00:41:00
Rock Argentino,6. Sábado,Patricio Rey y sus Redonditos de Ricota,Nadie Es Perfecto,141782,2026-06-06 01:14:00
Indie Rock,6. Sábado,Mi Amigo Invencible,LA ARAÑA,6540,2026-06-06 11:10:00
Indie Folk,6. Sábado,Ine Güemes,Montañas,10530,2026-06-06 12:22:00
Rock Argentino,6. Sábado,Patricio Rey y sus Redonditos de Ricota,Nadie Es Perfecto,52390,2026-06-06 12:22:00
Indie Pop,6. Sábado,MGMT,Time to Pretend,85580,2026-06-06 12:30:00
Rock Argentino,6. Sábado,Indio Solari,Black Russian,259000,2026-06-06 12:34:00
Rock Argentino,6. Sábado,Patricio Rey y sus Redonditos de Ricota,La Dicha No Es una Cosa Alegre,33041,2026-06-06 12:35:00
Rock Argentino,6. Sábado,Indio Solari,Todos a los Botes!,286067,2026-06-06 12:40:00
Rock Argentino,6. Sábado,Indio Solari,No Es Dios Todo lo que Reluce,288280,2026-06-06 12:44:00
Rock Argentino,6. Sábado,Indio Solari,Ceremonia Durante la Tormenta,152301,2026-06-06 12:47:00
Rock Argentino,6. Sábado,Indio Solari,A los Pájaros que Cantan Sobre las Selvas de Internet,236653,2026-06-06 12:51:00
Rock Argentino,6. Sábado,Indio Solari,Beemedobleve,196333,2026-06-06 12:54:00
Rock Argentino,6. Sábado,Indio Solari,A la Luz de la Luna,278093,2026-06-06 12:59:00
Rock Argentino,6. Sábado,Indio Solari,Las Supersticiones Traen Mala Suerte,43251,2026-06-06 13:04:00
Rock Argentino,6. Sábado,Indio Solari,La Pajarita Pechiblanca (scherzo),206973,2026-06-06 13:07:00
Rock Argentino,6. Sábado,Indio Solari,A los Pájaros que Cantan Sobre las Selvas de Internet,17558,2026-06-06 13:08:00
Rock Argentino,6. Sábado,Indio Solari,Las Supersticiones Traen Mala Suerte,191826,2026-06-06 13:41:00
Indie Rock,6. Sábado,Reina Momo,Mi Genio Amor,0,2026-06-06 15:13:00
Rock Argentino,6. Sábado,Indio Solari,Amok! Amok!,21179,2026-06-06 15:13:00
Rock Argentino,6. Sábado,Indio Solari,Las Supersticiones Traen Mala Suerte,39347,2026-06-06 15:13:00
Rock Argentino,6. Sábado,Patricio Rey y sus Redonditos de Ricota,Me Matan Limón!,215360,2026-06-06 15:22:00
Rock Argentino,6. Sábado,Indio Solari,Martinis y Tafiroles,180347,2026-06-06 15:28:00
Rock Argentino,6. Sábado,Conociendo Rusia,Otra Oportunidad,243040,2026-06-06 15:58:00
Rock Argentino,6. Sábado,Los Piojos,Amor de Perros,0,2026-06-06 16:32:00
Rock Argentino,6. Sábado,Fito Paez,Las Fuerzas Armadas del Amor,0,2026-06-06 19:50:00
Rock Argentino,6. Sábado,Los Piojos,Amor de Perros,263467,2026-06-06 19:55:00
Indie Pop,6. Sábado,Alex Anwandter,Tatuaje,238147,2026-06-06 20:10:00
Rock Argentino,6. Sábado,Fito Paez,Las Fuerzas Armadas del Amor,200,2026-06-06 20:16:00
Urbano Latino,6. Sábado,Dillom,Ciudad de la Paz (Portal Sessions),221670,2026-06-06 20:21:00
Rock Argentino,6. Sábado,Fito Paez,Las Fuerzas Armadas del Amor,4482,2026-06-06 20:21:00
Rock Argentino,6. Sábado,Indio Solari,Black Russian,259000,2026-06-06 20:25:00
